,제목,저자,출판사,발간일,가격
380,눈길,이청준,사피엔스21,2012년 02월,"7,200"
381,덧니가 보고 싶어,정세랑,난다,2019년 11월,"11,700"
382,오빠가 돌아왔다,김영하,복복서가,2020년 09월,"9,000"
383,카지노,김진명,새움,2010년 07월,"12,420"
384,토지 3,박경리,마로니에북스,2012년 08월,"12,150"
385,우주섬 사비의 기묘한 탄도학,배명훈,자이언트북스,2022년 05월,"13,320"
386,그 남자네 집,박완서,현대문학,2021년 01월,"11,700"
387,광개토태왕 담덕 4,엄광용,새움,2022년 12월,"14,400"
388,좀비즈 어웨이,배예람,안전가옥,2022년 03월,"9,000"
389,강산무진,김훈,문학동네,2006년 04월,"12,600"
390,베니스의 개성상인 1,오세영,문예춘추사,2023년 01월,"15,120"
391,빵 좋아하는 악당들의 행성,곽재식,비채,2022년 03월,"13,320"
392,고양이달 1 (일러스트 특별판),박영주,아띠봄,2021년 03월,"29,700"
393,세상에서 가장 아름다운 이별,노희경,북로그컴퍼니,2015년 05월,"11,520"
394,춘향전,백범영,민음사,2004년 04월,"10,800"
395,철도원 삼대,황석영,창비,2020년 06월,"18,000"
396,룬의 아이들 - 블러디드 1,전민희,엘릭시르,2018년 11월,"13,050"
397,별뜨기에 관하여,이영도,황금가지,2020년 10월,"12,420"
398,바이러스 X,김진명,이타북스,2020년 11월,"14,220"
